Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Building Agent-Based Decision Support Systems for Word-of-Mouth Programs: A Freemium Application.","CHICA, MANUEL; RAND, WILLIAM","Journal of Marketing Research (JMR)",="00222437",,="Oct2017","54","5","752","16","125577953","10.1509/jmr.15.0443","American Marketing Association","Article","Freemium business model; Word of mouth advertising; Targeted advertising; Decision making; Business models; Social networks; Other Individual and Family Services; Agent (Philosophy)",,"Marketers must constantly decide how to implement word-of-mouth (WOM) programs, and a well-developed decision support system (DSS) can provide them valuable assistance in doing so. The authors propose an agent-based framework that aggregates social network–level individual interactions to guide the construction of a successful DSS for WOM. The framework presents a set of guidelines and recommendations to (1) involve stakeholders, (2) follow a data-driven iterative modeling approach, (3) increase validity through automated calibration, and (4) understand the DSS behavior. This framework is applied to build a DSS for a freemium app in which premium users discuss the product with their social network and promote its viral adoption. After its validation, the agent-based DSS forecasts the aggregate number of premium sales over time and the most likely users to become premium in the near future. The experiments show how the DSS can help managers by forecasting premium conversions and increasing the number of premiums through targeting and implementing reward policies. [ABSTRACT FROM AUTHOR] Copyright of Journal of Marketing Research (JMR) is the property of American Marketing Association and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125577953&site=ehost-live"
"Anatomy of Successful Business Models for Complex Services: Insights from the Telemedicine Field.","Peters, Christoph; Blohm, Ivo; Leimeister, Jan Marco","Journal of Management Information Systems",="07421222",,="2015","32","3","75","30","111799832","10.1080/07421222.2015.1095034","Taylor & Francis Ltd","Article","Business models; Business development; Business enterprises; Telemedicine; Medicine; Medical telematics","analysis frameworks; business model; business model pattern; complex service; telemedicine","Telemedicine services may improve the quality of life of individuals while also reducing the costs of service provisioning. They represent an important but as yet understudied type of complex services that integrates many stakeholders acting in service value networks. These complex services typically comprise a combination of information technology (IT) services and highly person-oriented, non-IT services, and are characterized by long service delivery periods. In such an environment, it is particularly difficult to generate successful and sustainable business models, which are necessary for the widespread provision of telemedicine services. Following a design research approach, we develop and evaluate the CompBizMod framework, a morphological box allowing for: (1) the analysis, description, and classification of telemedicine business models, (2) the identification of white spots for future business opportunities, (3) and the identification of patterns for successful business models. We contribute to the literature by presenting a specific business model framework and identifying three business model patterns in the telemedicine industry. We exhibit how business models for complex services can be decomposed into their constituent elements and present an easy and replicable approach for identifying business model patterns in a given industry. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Information Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=111799832&site=ehost-live"
"Fractional Equity, Blockchain, and the Future of Creative Work.","Whitaker, Amy; Kräussl, Roman","Management Science",="00251909",,="Oct2020","66","10","4594","18","146242473","10.1287/mnsc.2020.3633","INFORMS: Institute for Operations Research","Article","Blockchains; Portfolio performance; Stock exchanges; Stocks (Finance); Transaction costs; Standard & Poor's Financial Services LLC; Securities and Commodity Exchanges; Rauschenberg, Robert, 1925-2008; Johns, Jasper, 1930-","asset pricing; innovation; investment; labor; technology","A core challenge in studying the real return on artist' work is the extreme difficulty accessing private records from when an artwork was first sold and thus relying on public auction data. In addition, artists do not typically receive proceeds after the initial sale. This paper, for the first time, uses archivally sourced primary market records to model returns on art and introduces a novel fractional equity structure for artists. We first model what would happen if the American artists Jasper Johns and Robert Rauschenberg had retained 10% equity in their work when it was first sold. Second, we model a portfolio return using data from the Betty Parsons Gallery and the Green Gallery. To add a portfolio analysis to the performance of ""star"" artists, we model the galleries as a fund invested in all of artworks sold, using auction sales as the realization event. We find that the individual Johns and Rauschenberg works would have vastly outperformed equities markets. The gallery portfolio still substantially outperforms the S&P, even including 20% transaction costs. Beyond the art market, our larger conceptual framework for retained fractional equity has broad implications for compensation of early-stage creative work in any field and for potential applications of blockchain technology. This paper was accepted by Karl Diether, finance. [ABSTRACT FROM AUTHOR] Copyright of Management Science is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=146242473&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang","Production & Operations Management",="10591478",,="Sep2021","30","9","3325","2","153092764","10.1111/poms.13587","Wiley-Blackwell","Article","Operations management; Business models; Artificial intelligence; Robot industry",,"In the past decade, numerous new business models have emerged to better deliver value to the customer. New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=153092764&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang","Production & Operations Management",="10591478",,="Aug2021","30","8","2790","2","153050740","10.1111/poms.13561","Wiley-Blackwell","Article","Operations management; Business models; Artificial intelligence; Robot industry",,"In the past decade, numerous new business models have emerged to better deliver value to the customer. Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=153050740&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang","Production & Operations Management",="10591478",,="Jul2021","30","7","2346","2","151898687","10.1111/poms.13546","Wiley-Blackwell","Article","Operations management; Business models; Artificial intelligence; Robot industry",,"Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. In the past decade, numerous new business models have emerged to better deliver value to the customer. New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=151898687&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Mithas, Sunil; Parker, Geoffrey G.; Tan, Yinliang","Production & Operations Management",="10591478",,="Dec2021","30","12","4658","2","154715939","10.1111/poms.13647","Wiley-Blackwell","Article","Operations management; Business models; Robot industry",,"Objective The special issue I New Business Models and Operations Innovations i aims to open new research areas on how new business models affect operations innovations, and how operations can be improved through new business models. Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. In the past decade, numerous new business models have emerged to better deliver value to the customer. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=154715939&site=ehost-live"
"Dynamic resource redeployment in global semiconductor firms.","Chang, Sea‐Jin; Matsumoto, Yoichi","Strategic Management Journal (John Wiley & Sons, Inc.)",="01432095",,="Feb2022","43","2","237","29","154716411","10.1002/smj.3332","John Wiley & Sons, Inc.","Article","Semiconductor industry; Business enterprises; Market entry; Resource allocation; Market exit; Samsung Electronics Co. Ltd.; Intel Corp.; Semiconductor and Related Device Manufacturing","economies of scope; entry; exit; resource redeployment; resource‐based theory","This study explores how firms decide in which businesses to further invest and from which businesses to withdraw resources by examining the detailed product portfolios of firms in the global semiconductor industry. Results show that resource redeployment within incumbent businesses is more prevalent than via new entry or complete exit, since the former is more flexible and easily reversible than the latter. This study further finds that, while underutilized resources may drive resource redeployment, resource shortage by a newly entered or expanding incumbent business may also siphon resources away from other incumbent businesses, leading to their exit or temporary retrenchment. Fabless firms with resource that are more fungible, scalable, and decomposable vis‐a‐vis integrated device manufacturers show a more flexible and gradual pattern of resource redeployment. Managerial summary: In fast‐moving environments, firms should quickly redeploy resources to more promising business areas. We find fabless firms with more fungible, scale free, and decomposable resources engage in more active resource redeployment than integrated device manufacturers with specialized fabs and equipment, like Intel or Samsung. Redeployment among the latter requires a well‐planned, synchronized approach so as to avoid idle resources. As such, in order to take advantage of dynamic resource redeployment, managers should begin by assessing the characteristics of firm resources along these dimensions. Managers may also consider business model transformation to separate their activities by specializing in areas in which they can best utilize their resources and capabilities, like fabless firms and foundries in the semiconductor industry. [ABSTRACT FROM AUTHOR] Copyright of Strategic Management Journal (John Wiley & Sons, Inc.) is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=154716411&site=ehost-live"
"On Ethical Violations in Microfinance Backed Small Businesses: Family and Household Welfare.","Nilakantan, Rahul; Iyengar, Deepak; Datta, Samar K.; Rao, Shashank","Journal of Business Ethics",="01674544",,="Sep2021","172","4","785","18","152013336","10.1007/s10551-020-04499-0","Springer Nature","Article","Microfinance; Small business finance; Mortgage-backed securities; Social impact; Family loans; Trust","Bottom of pyramid; Ethical violations","The microfinance business model focuses largely on lending to the woman in the household, rather than the man. The belief is that women are more trustworthy borrowers than men, and that lending to women may have increased social impact. Yet in several cases, women do not have control over the loan backed business despite being the borrower of record. Such takeover of the business by the man constitutes an ethical violation. We find that high dependency ratios in the family are correlates of such ethical violations. Further, we also find that ethical violations have a significant economic cost, consistent with prior scholarship in the family-business domain. While access to microfinance increases household welfare, this beneficial impact reduces by over 50% in the presence of an ethical violation. Our results suggest that microfinance lenders need to move beyond the traditional role of just being a lender to providing advice on issues like family planning, and money management, and enforcement, thus moving closer to the solidarity economy paradigm of integrating savings and credit into broader canvases of social relationships and social structures. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=152013336&site=ehost-live"
"Unpacking the Disruption Process: New Technology, Business Models, and Incumbent Adaptation.","Cozzolino, Alessio; Verona, Gianmario; Rothaermel, Frank T.","Journal of Management Studies (John Wiley & Sons, Inc.)",="00222380",,="Nov2018","55","7","1166","37","132482568","10.1111/joms.12352","John Wiley & Sons, Inc.","Article","Business models; Technological innovations; Value creation; Strategic planning; Disruptive technologies; Digital technology","digital platforms; disruptive innovation; incumbent adaptation; open business models; value creation and capture","Despite the growing importance of digital transformation and the notion of disruptive innovation, strategy literature still lacks a more complete picture of how incumbent organizations adapt their business models after disruptions. This research sheds light on this important process by analyzing a major Italian news media publisher reacting to the advent of the internet and the emergence of new business models by entrants into the industry (1995–2017). We specifically examine: (1) the drivers and impeding factors of business model adaptation; (2) how incumbents change strategies to cope with different components of the disruption process; and (3) how a closed business model can be renewed to develop an open, platform‐based business model to seize external opportunities, incur lower costs, and fend off disruptors. This study contributes to the burgeoning literature on disruption, business models, and platforms. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Studies (John Wiley & Sons, Inc.) is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=132482568&site=ehost-live"
"DIGITAL INNOVATION AS A FUNDAMENTAL AND POWERFUL CONCEPT IN THE INFORMATION SYSTEMS CURRICULUM.","Fichman, Robert G.; Dos Santos, Brian L.; Zheng, Zhiqiang (Eric)","MIS Quarterly",="02767783",,="Jun2014","38","2","329","41","95754071",,"MIS Quarterly","Article","Business education; Information resources management; Business planning; Mobile communication systems; Knowledge management; Colleges, Universities, and Professional Schools; Business and Secretarial Schools; All Other Information Services; Wireless Telecommunications Carriers (except Satellite); Teaching; Information technology education in universities & colleges","Digital Innovation; Fundamental and powerful concepts (FPC); IS core course; pedagogy","The 50-year march of Moore's Law has led to the creation of a relatively cheap and increasingly easy-to-use world-wide digital infrastructure of computers, mobile devices, broadband network connections, and advanced application platforms. This digital infrastructure has, in turn, accelerated the emergence of new technologies that enable transformations in how we live and work, how companies organize, and the structure of entire industries. As a result, it has become important for all business students to have a strong grounding in IT and digital innovation in order to manage, lead, and transform organizations that are increasingly dependent on digital innovation. Yet, at many schools, students do not get such grounding because the required information systems core class is stuck in the past. We present a vision for a redesigned IS core class that adopts digital innovation as a fundamental and powerful concept (FPC). A good FPC serves as both a foundational concept and an organizing principle for a course. We espouse a particularly broad conceptualization of digital innovation that allows for a variety of teaching styles and topical emphases for the IS core class. This conceptualization includes three types of innovation (i.e., process, product, and business model innovation), and four stages for the overall innovation process (i.e., discovery, development, diffusion, and impact). Based on this conceptualization, we examine the implications of adopting digital innovation as an FPC. We also briefly discuss broader implications relating to (1) the IS curriculum beyond the core class, (2) the research agenda for the IS field, and (3) the identity and legitimacy of IS in business schools. [ABSTRACT FROM AUTHOR] Copyright of MIS Quarterly is the property of MIS Quarterly and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=95754071&site=ehost-live"
"Impact of Online Word of Mouth on Channel Disintermediation for Information Goods.","Brian Lee, Ho Cheung; Li, Xinxin","Journal of Management Information Systems",="07421222",,="2018","35","3","964","30","132664859","10.1080/07421222.2018.1481671","Taylor & Francis Ltd","Article","Disintermediation; Electronic commerce; Internet marketing; Quality of service; Publishing; Business models; Electronic shopping and mail-order houses; Electronic Shopping; Book Publishers; Other publishers; All Other Publishers; Digital technology","channel disintermediation; content goods; eWoM; Information goods; online word of mouth; self-publishing","With the recent advances in digital technology, creators of information goods such as books, songs, or videos can now self-publish and sell their work directly to consumers, without the help of traditional publishers. In this study, we construct an analytical model to examine the role of online word of mouth in this trend of disintermediation. Online word of mouth can reveal product quality for experience goods and raise awareness to accelerate product diffusion. Intuitively, one would expect that with online word of mouth, creators would be more likely to skip publishers and sell directly to consumers. However, our results suggest that online word of mouth may, in fact, encourage more creators to use publishers for high quality work. Our model also makes predictions on the conditions under which online word of mouth benefits publishers and for what types of products and creators it has the most impact. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Information Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=132664859&site=ehost-live"
"Corporate Governance and Blockchains.","Yermack, David","Review of Finance",="15723097",,="Mar2017","21","1","7","25","121905056","10.1093/rof/rfw074","Oxford University Press / USA","Article","Blockchains; Corporate governance; Technological innovations; Stock ownership; Records management; Organizational transparency; Other business support services","Executive compensation; Shareholder activism","Blockchains represent a novel application of cryptography and information technology to age-old problems of financial record-keeping, and they may lead to farreaching changes in corporate governance. Many major players in the financial industry have began to invest in this new technology, and stock exchanges have proposed using blockchains as a new method for trading corporate equities and tracking their ownership. This essay evaluates the potential implications of these changes for managers, institutional investors, small shareholders, auditors, and other parties involved in corporate governance. The lower cost, greater liquidity, more accurate record-keeping, and transparency of ownership offered by blockchains may significantly upend the balance of power among these cohorts. [ABSTRACT FROM AUTHOR] Copyright of Review of Finance is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=121905056&site=ehost-live"
"BREAK YOUR INDUSTRY’S BOTTLENECKS.","Ersek, Barrett; Keller, Eileen Weisenbach; sub ns, John","Harvard Business Review",="00178012",,="Jul/Aug2015","93","7/8","98","8","103330635",,"Harvard University","Article","Innovations in business; Operating costs; Consumer preferences; Business models; Labor turnover; Social responsibility of business; Bonobos Inc.; Redbox Automated Retail LLC; Hyundai Motor Co. Ltd.; Appletree Answers (Company); Patagonia Inc.",,"If you want to create a really successful business, you have to do more than win your share of customers or control costs—you have to break the rules and overturn the received wisdom about how things work in your industry. For example, high-priced landing fees are just a cost of business in the airline industry, aren’t they? Ryanair didn’t think so, and it turned Europe’s unused World War II landing strips into very low cost airports. To be a cell phone service provider, you need to invest in towers, networks, billing systems, and more, right? India’s Airtel said no and leased virtually everything it needed from others. In sharply lowering its costs and improving its working capital model, Airtel was able to offer India’s impoverished consumers cell phone service at a dramatically reduced price. How can companies figure out which rules to break in their industries? By focusing on big structural problems endemic to their industries—not just problems they alone face. There are five common types of industry bottlenecks: (1) an outdated purchase or usage experience, (2) a superfluous major expense category, (3) high financial risks for customers, (4) disengaged employees, and (5) detrimental side effects of the product or service. This article lays out strategies used by real companies for busting those bottlenecks. In doing so, companies stand to significantly reduce their costs—or even eliminate entire cost categories—boost demand levels, and sometimes both. INSET: Idea in Brief.. [ABSTRACT FROM AUTHOR] Copyright 2015 Harvard Business Publishing. All Rights Reserved. Additional restrictions may apply including the use of this content as assigned course material. Please consult your institution's librarian about any restrictions that might apply under the license with your institution. For more information and teaching resources from Harvard Business Publishing including Harvard Business School Cases, eLearning products, and business simulations please visit hbsp.harvard.edu. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=103330635&site=ehost-live"
"HOW SMART, CONNECTED PRODUCTS ARE TRANSFORMING COMPANIES.","PORTER, MICHAEL E.; HEPPELMANN, JAMES E.","Harvard Business Review",="00178012",,="Oct2015","93","10","96","18","109338341",,"Harvard University","Article","Technological innovations & economics; Innovations in business; Artificial intelligence; Organizational structure; Information & communication technologies; Internet of things",,"The evolution of products into intelligent, connected devices is revolutionizing business. In a November 2014 article, “How Smart, Connected Products Are Transforming Competition,” Harvard Business School professor Michael Porter and PTC president and CEO James Heppelmann looked at how this shift is changing the structure of industries and forcing firms to rethink their strategies. In this companion article, the authors look at the effects inside firms, examining the impact that smart, connected products have on operations and organizational structure. The new capabilities and vast quantities of data that smart, connected products offer are redefining the activities of the core functions of companies—sometimes radically. As software and cloud-based operating systems become integral to products, new product-development principles emerge, manufacturing components and processes change, and IT security becomes the job of every function. Companies need different skills and expertise, which creates new imperatives for HR. In the marketing function, the ability to track a product’s condition and use shifts the focus to maximizing the product’s value to the customer over time. Customer relationships become continuous and open-ended, service becomes more efficient and proactive, and new business models are enabled. The rich data on location and environment that products provide take logistics to a whole new level. Smart, connected products also alter interactions between functions, in ways that hold major implications for organizational structure. Intense, ongoing coordination becomes necessary across multiple functions, including design, operations, sales, service, and IT. Functional roles overlap and blur. Entirely new functions—unified data organizations, dev-ops, and customer success management—begin to emerge. What is under way is the most substantial change in the manufacturing firm since the Second Industrial Revolution, and the effects are spreading to other industries, like services, as well. INSETS: A NEW ERA OF LEAN.;LESSONS FROM THE SOFTWARE INDUSTRY.;HOW SMART, CONNECTED PRODUCTS CHANGE SERVICES.. [ABSTRACT FROM AUTHOR] Copyright 2015 Harvard Business Publishing. All Rights Reserved. Additional restrictions may apply including the use of this content as assigned course material. Please consult your institution's librarian about any restrictions that might apply under the license with your institution. For more information and teaching resources from Harvard Business Publishing including Harvard Business School Cases, eLearning products, and business simulations please visit hbsp.harvard.edu. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=109338341&site=ehost-live"
"Linking information systems and entrepreneurship: A review and agenda for IT‐associated and digital entrepreneurship research.","Steininger, Dennis M.","Information Systems Journal",="13501917",,="Mar2019","29","2","363","45","134602171","10.1111/isj.12206","Wiley-Blackwell","Article","Information storage & retrieval systems; Entrepreneurship; Business models; Information technology; Technological innovations; Uncertainty","business model; digital entrepreneurship; entrepreneurship; information technology; review; start‐up","More than 50 years ago, information technology (IT) began to change society, the economy, and industries worldwide. This change has included waves of technological disruption that have been exploited by entrepreneurial actors who seize the associated new opportunities. Research on related phenomena is spread across different disciplines. Recently, there have been calls for further research on the marriage of information systems (IS) and entrepreneurship. We review 292 articles in the IS, entrepreneurship, and general and strategic management literature to create an overview of the IT‐associated entrepreneurship research landscape. On the basis of that review, we elaborate on the different roles that IT can assume to support entrepreneurial operations and value creation in these settings. Our findings suggest that IT plays four major roles in entrepreneurial operations: as a facilitator, making the operations of start‐ups easier; as a mediator for new ventures' operations; as an outcome of entrepreneurial operations; and as a ubiquity, becoming the business model itself. Leveraging these roles of IT, we develop a set of definitions to clear up definition uncertainties surrounding IT‐associated new ventures such as digital start‐ups and digital business models. We also outline a research agenda for IT‐associated entrepreneurship research based on identified roles, types, and gaps. [ABSTRACT FROM AUTHOR] Copyright of Information Systems Journal is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=134602171&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang (Ricky)","Production & Operations Management",="10591478",,="Apr2021","30","4","1188","2","150144099","10.1111/poms.13431","Wiley-Blackwell","Article","Operations management; Business models; Robot industry; Supply chain management",,"New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. In the past decade, numerous new business models have emerged to better deliver value to the customer. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150144099&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang (Ricky)","Production & Operations Management",="10591478",,="Jun2021","30","6","1952","2","151568713","10.1111/poms.13511","Wiley-Blackwell","Article","Operations management; Business models; Artificial intelligence; Robot industry",,"In the past decade, numerous new business models have emerged to better deliver value to the customer. New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=151568713&site=ehost-live"
"Special Issue of Production and Operations Management ""New Business Models and Operations Innovations"".","Anderson, Edward G.; Parker, Geoffrey G.; Tan, Yinliang (Ricky)","Production & Operations Management",="10591478",,="May2021","30","5","1553","2","150852126","10.1111/poms.13474","Wiley-Blackwell","Article","Operations management; Business models; Artificial intelligence; Robot industry",,"Successful new business models can transform a firm's value proposition and operating model by linking new technology with emerging market needs. In the past decade, numerous new business models have emerged to better deliver value to the customer. New business models are vital for companies pursuing breakout growth, reinvigorating a lagging core, or defending against industry decline or disruption. [Extracted from the article] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150852126&site=ehost-live"
"Policy for innovative entrepreneurship: Institutions, interventions, and societal challenges.","Bradley, Steven W.; Kim, Phillip H.; Klein, Peter G.; McMullen, Jeffery S.; Wennberg, Karl","Strategic Entrepreneurship Journal",="19324391",,="Jun2021","15","2","167","18","150852070","10.1002/sej.1395","Wiley-Blackwell","Article","Fiscal policy; Opportunity costs; Business models; Public Finance Activities; Political entrepreneurship; Institutional environment","entrepreneurship; innovation; institutional environment; public policy; research methods","Research Summary: Innovative entrepreneurship, defined as the creation of new products, services, production methods, or business models, is critical for firm, industry, and economic growth and a key determinant of societal well‐being. This special issue explores the roles of institutions and government policies in promoting or impeding innovative entrepreneurship. In this introductory editorial, we review theory and evidence on entrepreneurship at the macro‐institutional and micro‐policy levels, highlighting costs and benefits of alternative institutional environments and targeted policy interventions, as well as interactions within and across levels. We summarize the six papers in the special issue, discuss their contributions to the literature, and suggest how future work can build upon these and other papers to advance our understanding of the conditions and mechanisms underlying successful entrepreneurial innovation. Managerial Summary: Innovation and entrepreneurship bring new products and services to market, help firms and industries to grow, and generate improvements in social and economic life. The papers in this special issue explore the background conditions—laws, political processes, regulations, tax policy, subsidies, training programs, and more—that make entrepreneurship and innovation successful. Both ""macro"" and ""micro"" policies can stimulate successful entrepreneurial and innovative outcomes, but can also become politicized, be ineffective, and generate unintended consequences. The papers offer lessons to researchers, policymakers, and practitioners about making entrepreneurship and innovation more successful. [ABSTRACT FROM AUTHOR] Copyright of Strategic Entrepreneurship Journal is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150852070&site=ehost-live"
