"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.41458476907392,0.598296448941408,0.692942052067104,0.488539292589295
"2","Optimism",0.125596372864672,0.0529763345771794,2.37080148838336,0.0179765238242741
"3","Innovativeness",-0.0171622043312067,0.0507432233028434,-0.338216676319122,0.73528523506549
"4","Discomfort",-0.0157899541554018,0.042213334789828,-0.374051333163251,0.708461427912287
"5","Insecurity",0.0798250120774752,0.0482957529681054,1.6528370958455,0.0987412900327168
"6","Social_Influence",0.0281934310857738,0.0317406642758216,0.888243259207719,0.374666627865017
"7","Disposition_to_privacy",-0.147840853160092,0.0437999499890566,-3.37536579829497,0.000771322112969236
"8","Trust",0.196673739038545,0.0680158017990968,2.89158892251942,0.00393285748927289
"9","Perceived_risk",0.0132186887569505,0.0520049980056951,0.254181122274112,0.799418438662827
"10","Perceived_benefit_for_society",0.345841710166478,0.0734648404428124,4.70758131484262,2.93559021035372e-06
"11","Potential_of_disruption",0.258779105938274,0.054471215170618,4.75074964139703,2.38664627250636e-06
