"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.390840543433013,0.687246636900854,0.568704919671216,0.569709879449569
"2","Optimism",0.0632441571364741,0.0608524550629022,1.03930329632715,0.298965633735819
"3","Innovativeness",0.0719582472305321,0.0582873417050873,1.2345433009214,0.217349080244997
"4","Discomfort",0.00934828738538104,0.0484892939244575,0.192790750880904,0.847169896729339
"5","Insecurity",-0.0126666212214112,0.0554760000040972,-0.228326145008214,0.81944880463335
"6","Social_Influence",0.0685883969077324,0.0364596260184284,1.88121504244351,0.0602916455099934
"7","Disposition_to_privacy",-0.0200644109697799,0.050311795063575,-0.398801333652003,0.690141924228671
"8","Trust",0.305511517657326,0.0781278764486232,3.91040345065862,9.96489006234008e-05
"9","Perceived_risk",-0.0500368536344921,0.0597367075213071,-0.837623225495726,0.402482890885811
"10","Perceived_benefit_for_society",0.122501035067277,0.0843870369180899,1.45165702625845,0.146973951929575
"11","Potential_of_disruption",0.301282553078607,0.062569583189313,4.81515998223984,1.74705854452943e-06
